sentence_id,sentence,aspect,polarity,from,to
2014_1004,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,61,65
2014_1005,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,24,40
2014_1006,"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,4,14
2014_1006,"The wait staff is friendly, and the food has gotten better and better!",food,positive,36,40
2014_1008,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,44,48
2014_1008,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,76,87
2014_1008,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative,16,22
2014_1011,Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,64,69
2014_1011,Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,48,53
2014_1014,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,25,41
2014_1016,I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,19,27
2014_1016,I also ordered for delivery and the restaurant forgot half the order.,order,negative,63,68
2014_1017,Our server checked on us maybe twice during the entire meal.,server,negative,4,10
2014_1017,Our server checked on us maybe twice during the entire meal.,meal,neutral,55,59
2014_1020,The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,11,17
2014_1021,We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,11,27
2014_1024,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,143,148
2014_1026,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Spider Roll,conflict,11,22
2014_1026,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,124,129
2014_1026,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive,67,77
2014_1027,Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,0,18
2014_1028,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,21,33
2014_1028,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,55,62
2014_1029,I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,21,32
2014_1029,I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,63,85
2014_1030,Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,6,27
2014_1033,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Food,conflict,25,29
2014_1033,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive,114,118
2014_1033,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive,186,197
2014_1033,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,202,207
2014_1033,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive,134,141
2014_1033,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive,104,111
2014_1034,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive,12,16
2014_1034,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,positive,42,53
2014_1034,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,positive,21,27
2014_1035,I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,7,18
2014_1036,Some baby pizzas get their wish.,baby pizzas,neutral,5,16
2014_1040,Overall A oh ya even though there is waiting it is deff worth it,waiting,negative,37,44
2014_1041,The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,4,21
2014_1042,VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral,11,22
2014_1043,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,18,25
2014_1043,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative,40,44
2014_1043,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,negative,81,89
2014_1044,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,80,84
2014_1044,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,152,156
2014_1045,The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,41,46
2014_1046,good selection of wines ranging from affordable to high end.,selection of wines,positive,5,23
2014_1047,"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,positive,46,59
2014_1048,Not impressed with the food.,food,negative,23,27
2014_1049,The entire dining experience was wonderful!,dining experience,positive,11,28
2014_1050,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,positive,4,18
2014_1050,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral,101,112
2014_1051,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,positive,0,7
2014_1051,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive,91,97
2014_1051,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative,71,82
2014_1052,"Order the panang duck, it's fantastic.",panang duck,positive,10,21
2014_1053,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food,conflict,0,4
2014_1053,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,negative,76,90
2014_1054,"Other than the crappy service from two individuals, it's great.",service,negative,22,29
2014_1057,They have authentic Indian at amazin prices.,Indian,positive,20,26
2014_1057,They have authentic Indian at amazin prices.,prices,positive,37,43
2014_1060,Ambiance- relaxed and stylish.,Ambiance,positive,0,8
2014_1062,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,positive,30,40
2014_1062,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,positive,42,50
2014_1062,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,positive,55,66
2014_1063,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,20,31
2014_1063,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,48,59
2014_1063,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,80,85
2014_1063,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral,122,127
2014_1065,and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive,54,60
2014_1065,and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,positive,8,19
2014_1066,I look forward to eating here again,eating,positive,18,24
2014_1067,I've been coming here as a child and always come back for the taste.,taste,positive,62,67
2014_1068,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive,99,103
2014_1068,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive,114,119
2014_1069,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,positive,29,46
2014_1069,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive,56,63
2014_1069,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,positive,2,25
2014_1070,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,neutral,0,4
2014_1070,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,21,33
2014_1070,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative,50,55
2014_1071,The food always tastes fresh and served promptly.,food,positive,4,8
2014_1071,The food always tastes fresh and served promptly.,served,positive,33,39
2014_1073,The pizza here is delicious.,pizza,positive,4,9
2014_1076,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,positive,0,5
2014_1076,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,positive,80,88
2014_1076,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",garlic knots,positive,10,22
2014_1077,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",chinese food,positive,10,22
2014_1078,But who says Murray's is anything about service.,service,neutral,40,47
2014_1079,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,negative,104,108
2014_1081,Hats off to the chef.,chef,positive,16,20
2014_1083,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,negative,0,7
2014_1083,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,positive,138,144
2014_1085,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,positive,4,9
2014_1085,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,positive,34,50
2014_1085,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,negative,90,96
2014_1086,Its an excellent place to relax and the food is one of the best in the city of New York.,place,positive,17,22
2014_1086,Its an excellent place to relax and the food is one of the best in the city of New York.,food,positive,40,44
2014_1087,"service is friendly, and never had a problem walking in and getting a table.",service,positive,0,7
2014_1087,"service is friendly, and never had a problem walking in and getting a table.",getting a table,positive,60,75
2014_1088,The atmosphere was crowded but it was a great bistro-type vibe.,atmosphere,conflict,4,14
2014_1088,The atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,positive,46,62
2014_1090,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,negative,15,23
2014_1090,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral,101,107
2014_1092,The food was bland oily.,food,negative,4,8
2014_1094,"What is even better, is that the prices are very affordable as well, and the food is really good.",prices,positive,33,39
2014_1094,"What is even better, is that the prices are very affordable as well, and the food is really good.",food,positive,77,81
2014_1095,The fish is fresh but the variety of fish is nothing out of ordinary.,fish,positive,4,8
2014_1095,The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative,26,41
2014_1098,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,positive,23,34
2014_1098,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,positive,40,51
2014_1098,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,positive,64,78
2014_1098,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,positive,13,17
2014_1099,"And Kruno, the beverage manager is the best bartender I have yet to come across.",bartender,positive,44,53
2014_1099,"And Kruno, the beverage manager is the best bartender I have yet to come across.",beverage manager,positive,15,31
2014_1100,"Ambiance and music funky, which I enjoy.",Ambiance,positive,0,8
2014_1100,"Ambiance and music funky, which I enjoy.",music,positive,13,18
2014_1101,"The food, drinks and service are clearly among the best in the city.",food,positive,4,8
2014_1101,"The food, drinks and service are clearly among the best in the city.",drinks,positive,10,16
2014_1101,"The food, drinks and service are clearly among the best in the city.",service,positive,21,28
2014_1102,I went there in late afternoon for some bite size food and refleshment with my date.,food,neutral,50,54
2014_1102,I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral,59,70
2014_1104,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,positive,82,90
2014_1104,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,positive,108,115
2014_1104,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,positive,217,222
2014_1104,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,positive,228,234
2014_1104,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,positive,128,136
2014_1104,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,positive,163,170
2014_1104,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,positive,175,187
2014_1107,"Last time I went here, the waitress didn't come back after taking our order.",waitress,negative,27,35
2014_1108,Try the tandoori salmon!,tandoori salmon,positive,8,23
2014_1110,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,positive,15,25
2014_1111,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,negative,12,17
2014_1111,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive,55,62
2014_1114,I love the atmorphere @ peep!,atmorphere,positive,11,21
2014_1120,The service was attentive and her suggestions of menu items was right on the mark.,service,positive,4,11
2014_1120,The service was attentive and her suggestions of menu items was right on the mark.,menu items,positive,49,59
2014_1121,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,three course meal,positive,31,48
2014_1123,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",Pizza,positive,202,207
2014_1125,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,positive,4,15
2014_1125,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,negative,37,41
2014_1125,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,negative,59,66
2014_1126,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,positive,7,22
2014_1127,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral,55,66
2014_1129,What came to our table was burned beyond recognition and stringy.,table,neutral,17,22
2014_1130,I had the Pad Thai and the noodles were sticky.,Pad Thai,negative,10,18
2014_1130,I had the Pad Thai and the noodles were sticky.,noodles,negative,27,34
2014_1131,"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral,57,66
2014_1132,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,positive,80,101
2014_1133,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",lunch,positive,53,58
2014_1134,The hostess is rude to the point of being offensive.,hostess,negative,4,11
2014_1135,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive,35,39
2014_1135,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",wait building,negative,88,101
2014_1136,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,negative,9,17
2014_1136,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",space,negative,34,39
2014_1136,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counters,negative,79,87
2014_1136,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,negative,148,155
2014_1136,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,neutral,170,177
2014_1137,The food is great.,food,positive,4,8
2014_1138,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,positive,10,16
2014_1138,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,positive,76,82
2014_1138,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,positive,87,92
2014_1139,"Lunch came with pickels and slaw, no extra charge.",Lunch,positive,0,5
2014_1139,"Lunch came with pickels and slaw, no extra charge.",pickels and slaw,neutral,16,32
2014_1140,Decent wine at reasonable prices.,wine,positive,7,11
2014_1140,Decent wine at reasonable prices.,prices,positive,26,32
2014_1141,All conveniently delivered right to the door.,delivered,positive,17,26
2014_1142,even the wine by the glass was good.,wine by the glass,positive,9,26
2014_1144,would have rather tried terrace in the sky or water club for that price,price,negative,66,71
2014_1145,This dish is my favorite and I always get it when I go there and never get tired of it.,dish,positive,5,9
2014_1146,"I also ordered the Change Mojito, which was out of this world.",Change Mojito,positive,19,32
2014_1147,Okay service.,service,neutral,5,12
2014_1148,The only thing more wonderful than the food (which is exceptional) is the service.,food,positive,39,43
2014_1148,The only thing more wonderful than the food (which is exceptional) is the service.,service,positive,74,81
2014_1150,"The food was just awful, ATROCIOUS actually.",food,negative,4,8
2014_1152,The soup for the udon was soy sauce and water.,soup for the udon,negative,4,21
2014_1152,The soup for the udon was soy sauce and water.,soy sauce,neutral,26,35
2014_1152,The soup for the udon was soy sauce and water.,water,neutral,40,45
2014_1153,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,positive,4,14
2014_1153,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,positive,45,53
2014_1153,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling pasta mains,positive,67,86
2014_1154,The waitress suggested glasses of wine that went very well with the food.,waitress,positive,4,12
2014_1154,The waitress suggested glasses of wine that went very well with the food.,food,neutral,68,72
2014_1154,The waitress suggested glasses of wine that went very well with the food.,glasses of wine,positive,23,38
2014_1157,"They might be all business at the counter when you give your order, but their food says I love you.",food,positive,78,82
2014_1157,"They might be all business at the counter when you give your order, but their food says I love you.",counter,negative,34,41
2014_1158,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive,29,34
2014_1158,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),positive,90,111
2014_1158,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab dumplings,positive,113,127
2014_1158,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",assorted sashimi,positive,129,145
2014_1158,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,positive,147,152
2014_1158,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",rolls,positive,157,162
2014_1158,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sake,positive,177,181
2014_1158,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",banana tempura,positive,191,205
2014_1159,Try their plain pizza with fresh garlic or eggplant.,plain pizza,positive,10,21
2014_1159,Try their plain pizza with fresh garlic or eggplant.,garlic,positive,33,39
2014_1159,Try their plain pizza with fresh garlic or eggplant.,eggplant,positive,43,51
2014_1161,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,negative,11,18
2014_1161,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,conflict,81,88
2014_1162,Good luck getting a table.,getting a table,negative,10,25
2014_1166,The service is awful.,service,negative,4,11
2014_1169,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",takeout menu,positive,4,16
2014_1169,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",menu,positive,57,61
2014_1169,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",italian dishes,positive,76,90
2014_1175,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",Thai food,neutral,54,63
2014_1177,Regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you Five minutes.,hostess,positive,82,89
2014_1178,The pizza is good though.,pizza,positive,4,9
2014_1179,bottles of wine are cheap and good.,bottles of wine,positive,0,15
2014_1182,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",beers,positive,28,33
2014_1182,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",food,positive,98,102
2014_1182,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",pumkin tortelini,positive,160,176
2014_1182,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.",dish,positive,140,144
2014_1183,They didn't give us the dinner special until we asked for it.,dinner special,negative,24,38
2014_1184,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,crabmeat lasagna,positive,18,34
2014_1184,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,chocolate bread pudding,positive,70,93
2014_1184,You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.,dessert,positive,98,105
2014_1185,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",pasta dishes,positive,30,42
2014_1185,"word of advice, save room for pasta dishes and never leave until you've had the tiramisu.",tiramisu,positive,80,88
2014_1186,Very good service and very good prices.,service,positive,10,17
2014_1186,Very good service and very good prices.,prices,positive,32,38
2014_1187,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,lunch,neutral,60,65
2014_1188,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",service,positive,4,11
2014_1188,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",staff,positive,50,55
2014_1188,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",menu,neutral,105,109
2014_1188,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",meal,neutral,124,128
2014_1189,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,bagel,positive,63,68
2014_1190,Our food was great too!,food,positive,4,8
2014_1192,"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,negative,54,61
2014_1193,"Get your food to go, find a bench, and kick back with a plate of dumplings.",food,neutral,9,13
2014_1193,"Get your food to go, find a bench, and kick back with a plate of dumplings.",plate of dumplings,positive,56,74
2014_1194,"Please try the Filet Mignon, its just the most tender piece ever.",Filet Mignon,positive,15,27
2014_1196,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",sangria,neutral,52,59
2014_1196,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bar,neutral,29,32
2014_1196,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bar,neutral,86,89
2014_1196,"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bartender,negative,165,174
2014_1198,The sake menu should not be overlooked!,sake menu,positive,4,13
2014_1201,the drinks are amazing and half off till 8pm.,drinks,positive,4,10
2014_1202,i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,beef cubes,positive,62,72
2014_1205,"The service, wine selection, ambiance are all outstanding and deserve recognition.",service,positive,4,11
2014_1205,"The service, wine selection, ambiance are all outstanding and deserve recognition.",wine selection,positive,13,27
2014_1205,"The service, wine selection, ambiance are all outstanding and deserve recognition.",ambiance,positive,29,37
2014_1208,"We were seated promptly as we had reservations, however after that the service was slow.",reservations,positive,34,46
2014_1208,"We were seated promptly as we had reservations, however after that the service was slow.",service,negative,71,78
2014_1210,"It's really also the service, is good and the waiters are friendly.",service,positive,21,28
2014_1210,"It's really also the service, is good and the waiters are friendly.",waiters,positive,46,53
2014_1212,"The food was pretty good, but a little flavorless and the portions very small, including dessert.",food,conflict,4,8
2014_1212,"The food was pretty good, but a little flavorless and the portions very small, including dessert.",dessert,negative,89,96
2014_1212,"The food was pretty good, but a little flavorless and the portions very small, including dessert.",portions,negative,58,66
2014_1214,"It is set far from the small street it's on, and there is no traffic noise.",traffic noise,positive,61,74
2014_1218,Lived in Shanghai most of my life and thought the food was comparable to the flagship Green Bo restaurant there.,food,positive,50,54
2014_1219,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",food,positive,45,49
2014_1219,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",ambience,positive,55,63
2014_1219,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",service,positive,78,85
2014_1224,This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,dinner meeting,neutral,82,96
2014_1225,All the NYU students love this place so it makes for a fun young atmosphere.,atmosphere,positive,65,75
2014_1226,The food here does a great service to the name (Cantonese that is...).,food,positive,4,8
2014_1226,The food here does a great service to the name (Cantonese that is...).,Cantonese,positive,48,57
2014_1227,"But, nothing stands out about the cooking.",cooking,neutral,34,41
2014_1228,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,food,positive,40,44
2014_1228,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,atmosphere,positive,79,89
2014_1230,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,Prix Fixe menu,positive,4,18
2014_1230,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,quantity,positive,78,86
2014_1230,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,quality,positive,91,98
2014_1231,I've been here 3 times for lunch and it is one of my favorites in the city.,lunch,neutral,27,32
2014_1232,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",eggs benedict,negative,12,25
2014_1232,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",hollondaise sauce,negative,99,116
2014_1232,"I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.",brunch,neutral,30,36
